index,Timestamp,Rank,TrendPhrase
18,2014/04/25 08:23:36,6,#WeAreReadyForTheWWAT
18,2014/04/25 08:23:36,7,Finally Friday
18,2014/04/25 08:23:36,8,#smilejacob
18,2014/04/25 08:23:36,9,Ronald McDonald
18,2014/04/25 08:23:36,10,#askpewds
19,2014/04/25 08:48:59,1,#misscongeniality
19,2014/04/25 08:48:59,2,#LameOfficeHolidays
19,2014/04/25 08:48:59,3,Dunkin
19,2014/04/25 08:48:59,4,#3YearsOfBeAlright
19,2014/04/25 08:48:59,5,Florida
19,2014/04/25 08:48:59,6,#WeAreReadyForTheWWAT
19,2014/04/25 08:48:59,7,Finally Friday
19,2014/04/25 08:48:59,8,Edgar
19,2014/04/25 08:48:59,9,#askpewds
19,2014/04/25 08:48:59,10,McDonalds
20,2014/04/25 08:54:00,1,#misscongeniality
20,2014/04/25 08:54:00,2,#askpewds
20,2014/04/25 08:54:00,3,#3YearsOfBeAlright
20,2014/04/25 08:54:00,4,Florida
20,2014/04/25 08:54:00,5,#hothook
20,2014/04/25 08:54:00,6,#WeAreReadyForTheWWAT
20,2014/04/25 08:54:00,7,Finally Friday
20,2014/04/25 08:54:00,8,Edgar
20,2014/04/25 08:54:00,9,The Other Woman
20,2014/04/25 08:54:00,10,Penn Relays
21,2014/04/25 09:07:22,1,#misscongeniality
21,2014/04/25 09:07:22,2,#askpewds
21,2014/04/25 09:07:22,3,Cliven Bundy
21,2014/04/25 09:07:22,4,#3YearsOfBeAlright
21,2014/04/25 09:07:22,5,Mitch McGary
21,2014/04/25 09:07:22,6,Dunkin
21,2014/04/25 09:07:22,7,#HotHook
21,2014/04/25 09:07:22,8,#WeAreReadyForTheWWAT
21,2014/04/25 09:07:22,9,Finally Friday
21,2014/04/25 09:07:22,10,Penn Relays
22,2014/04/25 09:14:30,1,#misscongeniality
22,2014/04/25 09:14:30,2,#askpewds
22,2014/04/25 09:14:30,3,IHOP
22,2014/04/25 09:14:30,4,#3YearsOfBeAlright
22,2014/04/25 09:14:30,5,Mitch McGary
22,2014/04/25 09:14:30,6,#HotHook
22,2014/04/25 09:14:30,7,#WeAreReadyForTheWWAT
22,2014/04/25 09:14:30,8,Finally Friday
22,2014/04/25 09:14:30,9,The Other Woman
22,2014/04/25 09:14:30,10,Penn Relays
23,2014/04/25 09:19:31,1,Finally Friday
23,2014/04/25 09:19:31,2,#misscongeniality
23,2014/04/25 09:19:31,3,#askpewds
23,2014/04/25 09:19:31,4,#3YearsOfBeAlright
23,2014/04/25 09:19:31,5,Mitch McGary
23,2014/04/25 09:19:31,6,NCAA
23,2014/04/25 09:19:31,7,#WeAreReadyForTheWWAT
23,2014/04/25 09:19:31,8,#NotLovinIt
23,2014/04/25 09:19:31,9,IHOP
23,2014/04/25 09:19:31,10,Pepsi-flavored Cheetos
24,2014/04/25 09:24:31,1,Finally Friday
24,2014/04/25 09:24:31,2,#misscongeniality
24,2014/04/25 09:24:31,3,#askpewds
24,2014/04/25 09:24:31,4,Cliven Bundy
24,2014/04/25 09:24:31,5,#3YearsOfBeAlright
24,2014/04/25 09:24:31,6,Mitch McGary
24,2014/04/25 09:24:31,7,NCAA
24,2014/04/25 09:24:31,8,#WeAreReadyForTheWWAT
24,2014/04/25 09:24:31,9,#NotLovinIt
24,2014/04/25 09:24:31,10,We Could Be King
25,2014/04/25 09:29:32,1,Finally Friday
25,2014/04/25 09:29:32,2,#misscongeniality
25,2014/04/25 09:29:32,3,#askpewds
25,2014/04/25 09:29:32,4,Cliven Bundy
25,2014/04/25 09:29:32,5,#3YearsOfBeAlright
25,2014/04/25 09:29:32,6,Mitch McGary
25,2014/04/25 09:29:32,7,NCAA
25,2014/04/25 09:29:32,8,#WeAreReadyForTheWWAT
25,2014/04/25 09:29:32,9,#NotLovinIt
25,2014/04/25 09:29:32,10,We Could Be King
26,2014/04/25 09:36:40,1,#misscongeniality
26,2014/04/25 09:36:40,2,#LameOfficeHolidays
26,2014/04/25 09:36:40,3,Cliven Bundy
26,2014/04/25 09:36:40,4,#3YearsOfBeAlright
26,2014/04/25 09:36:40,5,Mitch McGary
26,2014/04/25 09:36:40,6,NCAA
26,2014/04/25 09:36:40,7,#WeAreReadyForTheWWAT
26,2014/04/25 09:36:40,8,Finally Friday
26,2014/04/25 09:36:40,9,Katy Perry
26,2014/04/25 09:36:40,10,#askpewds
27,2014/04/25 10:40:29,1,#misscongeniality
27,2014/04/25 10:40:29,2,#LameOfficeHolidays
27,2014/04/25 10:40:29,3,The NCAA
27,2014/04/25 10:40:29,4,#3YearsOfBeAlright
27,2014/04/25 10:40:29,5,Mitch McGary
27,2014/04/25 10:40:29,6,#WeAreReadyForTheWWAT
27,2014/04/25 10:40:29,7,Finally Friday
27,2014/04/25 10:40:29,8,Happy Arbor Day
27,2014/04/25 10:40:29,9,Bo Pilgrim
27,2014/04/25 10:40:29,10,#askpewds
28,2014/04/25 11:07:13,1,Tim Duncan
28,2014/04/25 11:07:13,2,#misscongeniality
28,2014/04/25 11:07:13,3,#askpewds
28,2014/04/25 11:07:13,4,Chapstick
28,2014/04/25 11:07:13,5,#3YearsOfBeAlright
28,2014/04/25 11:07:13,6,Mitch McGary
28,2014/04/25 11:07:13,7,#SendYourManNudesFriday
28,2014/04/25 11:07:13,8,#WeAreReadyForTheWWAT
28,2014/04/25 11:07:13,9,The Other Woman
28,2014/04/25 11:07:13,10,Happy Arbor Day
29,2014/04/25 11:12:14,1,Tim Duncan
29,2014/04/25 11:12:14,2,#misscongeniality
29,2014/04/25 11:12:14,3,#3YearsOfBeAlright
29,2014/04/25 11:12:14,4,Mitch McGary
29,2014/04/25 11:12:14,5,#SendYourManNudesFriday
29,2014/04/25 11:12:14,6,#WeAreReadyForTheWWAT
29,2014/04/25 11:12:14,7,Finally Friday
29,2014/04/25 11:12:14,8,The Other Woman
29,2014/04/25 11:12:14,9,#ctecfest
29,2014/04/25 11:12:14,10,Happy Arbor Day
30,2014/04/25 11:37:46,1,Vezina
30,2014/04/25 11:37:46,2,#misscongeniality
30,2014/04/25 11:37:46,3,Tim Duncan
30,2014/04/25 11:37:46,4,#3YearsOfBeAlright
30,2014/04/25 11:37:46,5,Mitch McGary
30,2014/04/25 11:37:46,6,#SendYourManNudesFriday
30,2014/04/25 11:37:46,7,#WeAreReadyForTheWWAT
30,2014/04/25 11:37:46,8,IHOP
30,2014/04/25 11:37:46,9,#ctecfest
30,2014/04/25 11:37:46,10,Happy Arbor Day
31,2014/04/25 11:42:47,1,Vezina
31,2014/04/25 11:42:47,2,#misscongeniality
31,2014/04/25 11:42:47,3,Tim Duncan
31,2014/04/25 11:42:47,4,#3YearsOfBeAlright
31,2014/04/25 11:42:47,5,Mitch McGary
31,2014/04/25 11:42:47,6,#SendYourManNudesFriday
31,2014/04/25 11:42:47,7,#WeAreReadyForTheWWAT
31,2014/04/25 11:42:47,8,The Other Woman
31,2014/04/25 11:42:47,9,Happy Arbor Day
31,2014/04/25 11:42:47,10,#CNNRahmComs
1,2014/04/25 18:42:24,1,#DONTSTOP5SOS
1,2014/04/25 18:42:24,2,Don't Stop
1,2014/04/25 18:42:24,3,Jeepers Creepers
1,2014/04/25 18:42:24,4,When You Get Caught Flirting
1,2014/04/25 18:42:24,5,#NashNewVideo
1,2014/04/25 18:42:24,6,#WeAreReadyForTheWWAT
1,2014/04/25 18:42:24,7,#5SOSKISS957
1,2014/04/25 18:42:24,8,Columbus Short
1,2014/04/25 18:42:24,9,#HipsterBooks
1,2014/04/25 18:42:24,10,Pearl Harbor
2,2014/04/25 18:47:26,1,The Only Reason
2,2014/04/25 18:47:26,2,#DONTSTOP5SOS
2,2014/04/25 18:47:26,3,Jeepers Creepers
2,2014/04/25 18:47:26,4,When You Get Caught Flirting
2,2014/04/25 18:47:26,5,#NashNewVideo
2,2014/04/25 18:47:26,6,#WeAreReadyForTheWWAT
2,2014/04/25 18:47:26,7,#5SOSKISS957
2,2014/04/25 18:47:26,8,Columbus Short
2,2014/04/25 18:47:26,9,#HipsterBooks
2,2014/04/25 18:47:26,10,Pearl Harbor
3,2014/04/25 18:52:28,1,#DONTSTOP5SOS
3,2014/04/25 18:52:28,2,#wwatincolombia
3,2014/04/25 18:52:28,3,Don't Stop
3,2014/04/25 18:52:28,4,When You Get Caught Flirting
3,2014/04/25 18:52:28,5,#NashNewVideo
3,2014/04/25 18:52:28,6,Liam and Louis
3,2014/04/25 18:52:28,7,#WeAreReadyForTheWWAT
3,2014/04/25 18:52:28,8,#5SOSKISS957
3,2014/04/25 18:52:28,9,Columbus Short
3,2014/04/25 18:52:28,10,Pearl Harbor
1,2014/04/28 06:35:07,1,#Problem
1,2014/04/28 06:35:07,2,Magic Johnson
1,2014/04/28 06:35:07,3,#insomnia
1,2014/04/28 06:35:07,4,Netflix
1,2014/04/28 06:35:07,5,#WhyBeInARelationshipWhen
1,2014/04/28 06:35:07,6,Mother Nature
1,2014/04/28 06:35:07,7,#BuyProblemOniTunes
1,2014/04/28 06:35:07,8,Cali
1,2014/04/28 06:35:07,9,Arkansas
1,2014/04/28 06:35:07,10,#PrayForArkansas
