Timestamp,Rank,TrendPhrase
2014/04/23 07:40:26,7,William Shakespeare
2014/04/23 07:40:26,8,#HumpDay
2014/04/23 07:40:26,9,Singing Baby in Japan
2014/04/23 07:40:26,10,#WrigleyField100
2014/04/23 07:56:57,1,#500club
2014/04/23 07:56:57,2,FCAT
2014/04/23 07:56:57,3,#4DaysUntilProblem
2014/04/23 07:56:57,4,#myNYPD
2014/04/23 07:56:57,5,Dunkin
2014/04/23 07:56:57,6,Chicago
2014/04/23 07:56:57,7,#GreenTVShows
2014/04/23 07:56:57,8,William Shakespeare
2014/04/23 07:56:57,9,Singing Baby in Japan
2014/04/23 07:56:57,10,#WrigleyField100
2014/04/23 08:01:58,1,#500club
2014/04/23 08:01:58,2,Happy 100th
2014/04/23 08:01:58,3,Juniors
2014/04/23 08:01:58,4,FCAT
2014/04/23 08:01:58,5,#4DaysUntilProblem
2014/04/23 08:01:58,6,#SLC14
2014/04/23 08:01:58,7,#MostBeautiful
2014/04/23 08:01:58,8,#GreenTVShows
2014/04/23 08:01:58,9,William Shakespeare
2014/04/23 08:01:58,10,Singing Baby in Japan
2014/04/23 08:06:58,1,#500club
2014/04/23 08:06:58,2,Happy 100th
2014/04/23 08:06:58,3,FCAT
2014/04/23 08:06:58,4,#4DaysUntilProblem
2014/04/23 08:06:58,5,#myNYPD
2014/04/23 08:06:58,6,ACTs
2014/04/23 08:06:58,7,#MostBeautiful
2014/04/23 08:06:58,8,#GreenTVShows
2014/04/23 08:06:58,9,William Shakespeare
2014/04/23 08:06:58,10,Singing Baby in Japan
2014/04/23 08:12:00,1,#500club
2014/04/23 08:12:00,2,Happy 100th
2014/04/23 08:12:00,3,FCAT
2014/04/23 08:12:00,4,#4DaysUntilProblem
2014/04/23 08:12:00,5,#myNYPD
2014/04/23 08:12:00,6,ACTs
2014/04/23 08:12:00,7,#MostBeautiful
2014/04/23 08:12:00,8,#GreenTVShows
2014/04/23 08:12:00,9,William Shakespeare
2014/04/23 08:12:00,10,Singing Baby in Japan
2014/04/23 08:17:00,1,#500club
2014/04/23 08:17:00,2,Happy 100th
2014/04/23 08:17:00,3,Juniors
2014/04/23 08:17:00,4,FCAT
2014/04/23 08:17:00,5,#4DaysUntilProblem
2014/04/23 08:17:00,6,ACTs
2014/04/23 08:17:00,7,#MostBeautiful
2014/04/23 08:17:00,8,#GreenTVShows
2014/04/23 08:17:00,9,William Shakespeare
2014/04/23 08:17:00,10,#WrigleyField100
2014/04/23 08:22:01,1,#500club
2014/04/23 08:22:01,2,Happy 100th
2014/04/23 08:22:01,3,Juniors
2014/04/23 08:22:01,4,FCAT
2014/04/23 08:22:01,5,#4DaysUntilProblem
2014/04/23 08:22:01,6,#myNYPD
2014/04/23 08:22:01,7,ACTs
2014/04/23 08:22:01,8,#MostBeautiful
2014/04/23 08:22:01,9,#GreenTVShows
2014/04/23 08:22:01,10,William Shakespeare
2014/04/23 08:27:02,1,#500club
