12,2014/04/24 06:48:04,2,Michael Pineda
12,2014/04/24 06:48:04,3,Florida
12,2014/04/24 06:48:04,4,#cantsleep
12,2014/04/24 06:48:04,5,#5SOSonElvis
12,2014/04/24 06:48:04,6,Lamarcus Aldridge
12,2014/04/24 06:48:04,7,#3DaysUntilProblem
12,2014/04/24 06:48:04,8,#GangstaBroadway
12,2014/04/24 06:48:04,9,Afghan
12,2014/04/24 06:48:04,10,Bundy
13,2014/04/24 06:53:04,1,Bundy
13,2014/04/24 06:53:04,2,Michael Pineda
13,2014/04/24 06:53:04,3,Florida
13,2014/04/24 06:53:04,4,#cantsleep
13,2014/04/24 06:53:04,5,#5SOSonElvis
13,2014/04/24 06:53:04,6,Lamarcus Aldridge
13,2014/04/24 06:53:04,7,#3DaysUntilProblem
13,2014/04/24 06:53:04,8,#GangstaBroadway
13,2014/04/24 06:53:04,9,Afghan
13,2014/04/24 06:53:04,10,#tired
14,2014/04/24 06:58:05,1,#throwbackthursday
14,2014/04/24 06:58:05,2,Michael Pineda
14,2014/04/24 06:58:05,3,#finalsweek
14,2014/04/24 06:58:05,4,Florida
14,2014/04/24 06:58:05,5,New York
14,2014/04/24 06:58:05,6,#5SOSonElvis
14,2014/04/24 06:58:05,7,LaMarcus Aldridge
14,2014/04/24 06:58:05,8,#3DaysUntilProblem
14,2014/04/24 06:58:05,9,#GangstaBroadway
14,2014/04/24 06:58:05,10,Afghan
15,2014/04/24 07:03:05,1,#throwbackthursday
15,2014/04/24 07:03:05,2,Michael Pineda
15,2014/04/24 07:03:05,3,#finalsweek
15,2014/04/24 07:03:05,4,Florida
15,2014/04/24 07:03:05,5,New York
15,2014/04/24 07:03:05,6,#5SOSonElvis
15,2014/04/24 07:03:05,7,LaMarcus Aldridge
15,2014/04/24 07:03:05,8,#3DaysUntilProblem
15,2014/04/24 07:03:05,9,#GangstaBroadway
15,2014/04/24 07:03:05,10,Afghan
16,2014/04/24 07:08:06,1,Afghan
16,2014/04/24 07:08:06,2,Michael Pineda
16,2014/04/24 07:08:06,3,#finalsweek
16,2014/04/24 07:08:06,4,#1DayUntilTheWWAT
16,2014/04/24 07:08:06,5,Florida
16,2014/04/24 07:08:06,6,#5SOSonElvis
16,2014/04/24 07:08:06,7,LaMarcus Aldridge
16,2014/04/24 07:08:06,8,#3DaysUntilProblem
16,2014/04/24 07:08:06,9,#GangstaBroadway
16,2014/04/24 07:08:06,10,Beth
17,2014/04/24 07:13:07,1,#throwbackthursday
17,2014/04/24 07:13:07,2,Michael Pineda
17,2014/04/24 07:13:07,3,#1DayUntilTheWWAT
17,2014/04/24 07:13:07,4,New York
17,2014/04/24 07:13:07,5,#5SOSonElvis
17,2014/04/24 07:13:07,6,Colombia
17,2014/04/24 07:13:07,7,LaMarcus Aldridge
17,2014/04/24 07:13:07,8,#3DaysUntilProblem
17,2014/04/24 07:13:07,9,#GangstaBroadway
17,2014/04/24 07:13:07,10,Beth
18,2014/04/24 07:18:07,1,#throwbackthursday
18,2014/04/24 07:18:07,2,Michael Pineda
18,2014/04/24 07:18:07,3,#1DayUntilTheWWAT
18,2014/04/24 07:18:07,4,Florida
18,2014/04/24 07:18:07,5,#5SOSonElvis
18,2014/04/24 07:18:07,6,Lamarcus Aldridge
18,2014/04/24 07:18:07,7,#3DaysUntilProblem
18,2014/04/24 07:18:07,8,#GangstaBroadway
18,2014/04/24 07:18:07,9,Penn Relays
18,2014/04/24 07:18:07,10,Beth
19,2014/04/24 07:23:08,1,Michael Pineda
19,2014/04/24 07:23:08,2,#1DayUntilTheWWAT
19,2014/04/24 07:23:08,3,#sunrise
19,2014/04/24 07:23:08,4,New York
19,2014/04/24 07:23:08,5,#5SOSonElvis
19,2014/04/24 07:23:08,6,Colombia
19,2014/04/24 07:23:08,7,LaMarcus Aldridge
19,2014/04/24 07:23:08,8,#3DaysUntilProblem
19,2014/04/24 07:23:08,9,#GangstaBroadway
19,2014/04/24 07:23:08,10,Penn Relays
20,2014/04/24 07:28:09,1,Michael Pineda
20,2014/04/24 07:28:09,2,#1DayUntilTheWWAT
20,2014/04/24 07:28:09,3,#OrangeRoom
20,2014/04/24 07:28:09,4,#5SOSonElvis
20,2014/04/24 07:28:09,5,Colombia
20,2014/04/24 07:28:09,6,LaMarcus Aldridge
20,2014/04/24 07:28:09,7,#3DaysUntilProblem
20,2014/04/24 07:28:09,8,#GangstaBroadway
20,2014/04/24 07:28:09,9,Penn Relays
20,2014/04/24 07:28:09,10,Chicken McNuggets
21,2014/04/24 07:33:10,1,Michael Pineda
21,2014/04/24 07:33:10,2,FCAT
21,2014/04/24 07:33:10,3,Don't Stop
21,2014/04/24 07:33:10,4,#1DayUntilTheWWAT
21,2014/04/24 07:33:10,5,#OrangeRoom
21,2014/04/24 07:33:10,6,#5SOSonElvis
21,2014/04/24 07:33:10,7,Lamarcus Aldridge
21,2014/04/24 07:33:10,8,#3DaysUntilProblem
21,2014/04/24 07:33:10,9,#GangstaBroadway
21,2014/04/24 07:33:10,10,Penn Relays
